transaction_id,unit_id,category,posted_at,amount_usd
C001-variable,S001,variable,2026-01-07T00:00:00Z,25.00
C001-media,S001,media,2026-01-07T00:00:00Z,10.00
C001-inference,S001,inference,2026-01-07T00:00:00Z,1.00
C001-infrastructure,S001,infrastructure,2026-01-07T00:00:00Z,1.00
C001-experiment,S001,experiment,2026-01-07T00:00:00Z,0.50
C002-media,S002,media,2026-01-07T00:00:00Z,10.00
C002-inference,S002,inference,2026-01-07T00:00:00Z,1.00
C002-infrastructure,S002,infrastructure,2026-01-07T00:00:00Z,1.00
C002-experiment,S002,experiment,2026-01-07T00:00:00Z,0.50
C003-variable,S003,variable,2026-01-07T00:00:00Z,25.00
C003-media,S003,media,2026-01-07T00:00:00Z,10.00
C003-inference,S003,inference,2026-01-07T00:00:00Z,1.00
C003-infrastructure,S003,infrastructure,2026-01-07T00:00:00Z,1.00
C003-experiment,S003,experiment,2026-01-07T00:00:00Z,0.50
C004-media,S004,media,2026-01-07T00:00:00Z,10.00
C004-inference,S004,inference,2026-01-07T00:00:00Z,1.00
C004-infrastructure,S004,infrastructure,2026-01-07T00:00:00Z,1.00
C004-experiment,S004,experiment,2026-01-07T00:00:00Z,0.50
C005-variable,S005,variable,2026-01-07T00:00:00Z,25.00
C005-media,S005,media,2026-01-07T00:00:00Z,12.00
C005-inference,S005,inference,2026-01-07T00:00:00Z,2.00
C005-infrastructure,S005,infrastructure,2026-01-07T00:00:00Z,1.00
C005-experiment,S005,experiment,2026-01-07T00:00:00Z,0.50
C006-variable,S006,variable,2026-01-07T00:00:00Z,25.00
C006-media,S006,media,2026-01-07T00:00:00Z,12.00
C006-inference,S006,inference,2026-01-07T00:00:00Z,2.00
C006-infrastructure,S006,infrastructure,2026-01-07T00:00:00Z,1.00
C006-experiment,S006,experiment,2026-01-07T00:00:00Z,0.50
C007-variable,S007,variable,2026-01-07T00:00:00Z,25.00
C007-media,S007,media,2026-01-07T00:00:00Z,12.00
C007-inference,S007,inference,2026-01-07T00:00:00Z,2.00
C007-infrastructure,S007,infrastructure,2026-01-07T00:00:00Z,1.00
C007-experiment,S007,experiment,2026-01-07T00:00:00Z,0.50
C008-media,S008,media,2026-01-07T00:00:00Z,12.00
C008-inference,S008,inference,2026-01-07T00:00:00Z,2.00
C008-infrastructure,S008,infrastructure,2026-01-07T00:00:00Z,1.00
C008-experiment,S008,experiment,2026-01-07T00:00:00Z,0.50
